otu	sim	del	ins	mis	len	score	hit
1	denovo15459	82.47	0	11	33	251	177	A155_EU074856
2	denovo9641	86.51	0	13	26	289	195.5	B11_AY239361
3	denovo17699	71.43	9	17	56	287	287	G3.4_LK392378
4	denovo14206	70.03	10	13	63	287	296	B32_GU907647
5	denovo5036	67.94	12	17	63	287	296	G3.4_LK392378
6	denovo6309	68.29	12	16	63	287	300.5	G3.4_LK392378
7	denovo3061	73.45	11	16	50	290	302	G4_AM748601
8	denovo13301	67.94	12	17	63	287	304	G3.4_LK392378
9	denovo12200	72.41	12	16	52	290	304	G4_AM748601
10	denovo8947	70.2	12	15	49	255	309.5	A103_AB207206
11	denovo14551	67.94	13	18	61	287	310.5	G3.4_LK392378
12	denovo14568	68.29	13	16	62	287	310.5	G3.4_LK392378
13	denovo17659	71.38	13	18	52	290	311	G4_AM748601
14	denovo12662	77.11	15	32	83	568	316	C1_JN558041
15	denovo17177	71.57	13	11	61	299	318.5	F3.2a_AM748568
16	denovo3433	71.37	13	14	46	255	319.5	A103_AB207206
17	denovo1247	73.33	15	14	51	300	321	I1_FN561559
18	denovo16260	72.16	16	8	47	255	322.5	A131_EF656432
19	denovo16260	71.48	20	11	52	291	322.5	F3.2a_AM748568
20	denovo17697	68.64	11	15	64	287	324.5	G3.4_LK392378
21	denovo15401	69.97	20	9	59	293	325	F3.2a_AM748568;F3.2_AM748567
22	denovo3877	70.31	15	9	63	293	325.5	F3.2_AM748567
23	denovo6729	71.48	8	11	54	256	326	A101_AF427468
24	denovo2045	70.98	14	14	46	255	326.5	A103_AB207206
25	denovo3194	72.94	15	10	44	255	327.5	A131_EF656432
26	denovo3194	73.58	17	13	49	299	327.5	F3.2a_AM748568
27	denovo15855	71.24	12	15	61	306	329.5	I1_FN561559
28	denovo15145	70.59	13	13	49	255	330	A103_AB207206
29	denovo17318	72.41	12	13	55	290	330	G4_AM748601
30	denovo12609	73.2	17	10	51	291	331.5	F3.2a_AM748568
31	denovo15453	71.67	20	11	52	293	332	F3.2a_AM748568
32	denovo1031	72.55	15	8	47	255	333	A131_EF656432
33	denovo3979	69.73	16	8	65	294	342	F3.2_AM748567
34	denovo17308	74.83	18	12	45	298	342.5	F3.2a_AM748568
35	denovo16498	71.67	16	10	57	293	344	F3.2a_AM748568
36	denovo16090	73.03	13	15	54	304	347	F3.1a_AM748566
37	denovo12194	74.51	16	16	46	306	347	I2_FN561560
38	denovo7262	75.92	18	13	41	299	349	F3.2a_AM748568
39	denovo12259	73.77	15	14	51	305	349	I1_FN561559
40	denovo12177	71.91	20	12	52	299	350	F3.2a_AM748568
41	denovo5045	72.22	14	13	58	306	350.5	I2_FN561560
42	denovo3481	73.58	18	10	51	299	351.5	F3.2a_AM748568
43	denovo8719	72.24	15	13	55	299	351.5	F3.2_AM748567
44	denovo7305	71.24	17	10	59	299	352	F3.2_AM748567
45	denovo16392	70.57	18	10	60	299	352	F3.2a_AM748568
46	denovo7511	73.36	13	13	55	304	355.5	F3.1a_AM748566
47	denovo16896	70.16	11	14	66	305	355.5	I2_FN561560
